SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
NAGAFERT, EQ, 09-Apr-2019,7,6.9,6.95,6.75,6.8,6.8,6.83,89577,6.12,282,65479,73.1
NAGAROIL, EQ, 09-Apr-2019,0.35,0.35,0.35,0.3,0.35,0.35,0.33,754044,2.48,162,600172,79.59
NAGREEKCAP, EQ, 09-Apr-2019,13.45,12.75,13.4,12.75,12.8,12.8,12.93,602,0.08,13,352,58.47
NAGREEKEXP, EQ, 09-Apr-2019,22.65,22.45,22.5,22.15,22.2,22.2,22.22,1250,0.28,17,900,72
NAHARCAP, EQ, 09-Apr-2019,90.2,91.95,91.95,88.6,88.6,89.4,90,307,0.28,14,303,98.7
NAHARINDUS, EQ, 09-Apr-2019,42.05,41.7,42.35,41.55,42.15,42,41.93,6965,2.92,54,6707,96.3
NAHARPOLY, EQ, 09-Apr-2019,37.35,37,37.3,36.55,37,36.85,36.97,2425,0.9,25,2321,95.71
NAHARSPING, EQ, 09-Apr-2019,90.15,90.75,93.65,89.15,90.95,91.1,91.44,14185,12.97,893,5458,38.48
NANDANI, SM, 09-Apr-2019,51.9,51.9,53,49.35,49.35,49.35,50.56,12000,6.07,6,12000,100
NATCOPHARM, EQ, 09-Apr-2019,566.65,569.85,569.9,563.15,565.1,565.1,565.7,77665,439.35,6200,40653,52.34
NATHBIOGEN, EQ, 09-Apr-2019,479.75,478.3,478.3,465.05,473,471.55,471.82,7582,35.77,421,4088,53.92
NATIONALUM, EQ, 09-Apr-2019,55.75,55.8,56.9,55.3,56.85,56.45,55.96,7980973,4466.1,16874,2949777,36.96
NATNLSTEEL, EQ, 09-Apr-2019,4.9,5.1,5.35,4.85,4.95,4.95,4.99,44939,2.24,106,35468,78.92
NAUKRI, EQ, 09-Apr-2019,1856.6,1859.6,1930,1832,1893.75,1884.15,1876.26,315644,5922.29,38738,154460,48.93
NAVINFLUOR, EQ, 09-Apr-2019,729.65,725,733.55,720.05,720.2,721.55,724.09,16194,117.26,1760,10452,64.54
NAVKARCORP, EQ, 09-Apr-2019,37.75,37.85,38,36.8,36.9,37.1,37.18,332031,123.44,1497,215518,64.91
NAVNETEDUL, EQ, 09-Apr-2019,110.35,110.25,111.5,109.35,110.5,110.7,110.09,132477,145.85,710,124290,93.82
NBCC, EQ, 09-Apr-2019,62.5,62.3,62.4,60.2,61.45,61.4,61.3,11260203,6902.33,30125,2478258,22.01
NBIFIN, EQ, 09-Apr-2019,1088.6,1055.1,1090,1039.6,1090,1088.85,1067.85,275,2.94,36,229,83.27
NBVENTURES, EQ, 09-Apr-2019,103.5,103.5,103.6,102.35,102.5,102.75,103.01,47284,48.71,460,36866,77.97
NCC, EQ, 09-Apr-2019,105,105.65,105.65,101.2,103.55,103.9,103.41,13847274,14319.36,55328,4475846,32.32
NCLIND, EQ, 09-Apr-2019,150.75,150,150.7,144,146.3,146.35,146.77,31531,46.28,692,21260,67.43
NDGL, EQ, 09-Apr-2019,738.25,738,750.05,724,731,737.3,741.69,129,0.96,34,112,86.82
NDL, EQ, 09-Apr-2019,53.2,52.25,54.2,52.25,52.5,52.85,53.22,22386,11.91,469,12714,56.79
NDTV, EQ, 09-Apr-2019,35.8,35.85,36.1,35.3,35.55,35.7,35.72,3700,1.32,70,2628,71.03
NECCLTD, EQ, 09-Apr-2019,8.4,8.5,8.5,8.2,8.25,8.3,8.3,6275,0.52,39,3386,53.96
NECLIFE, EQ, 09-Apr-2019,17,17.05,17.1,16.55,16.85,16.85,16.81,82373,13.85,529,54700,66.41
NELCAST, EQ, 09-Apr-2019,71.15,71.2,71.5,70.25,71.5,71.1,70.92,22312,15.82,272,14943,66.97
NELCO, EQ, 09-Apr-2019,317.1,319.5,333,316.25,320.7,320.15,324.46,298296,967.85,7118,63125,21.16
NESCO, EQ, 09-Apr-2019,474.4,474.4,478.95,466,466,467.05,470.01,10374,48.76,557,8073,77.82
NESTLEIND, EQ, 09-Apr-2019,10850.6,10889,10889,10740,10770,10790.05,10788.34,75730,8170.01,14348,48465,64
NETF, EQ, 09-Apr-2019,117.52,116.72,116.72,116.72,116.72,116.72,116.72,11,0.01,1,11,100
NETWORK18, EQ, 09-Apr-2019,34.9,35.1,35.4,34.6,34.9,35.1,35.04,169422,59.37,1044,83340,49.19
NEULANDLAB, EQ, 09-Apr-2019,690.2,691.1,704.55,680.1,700,693.9,694.61,17269,119.95,1543,4773,27.64
NEWGEN, EQ, 09-Apr-2019,351.9,352,366,338,347.35,345.25,349.01,66345,231.55,2235,20100,30.3
NEXTMEDIA, EQ, 09-Apr-2019,18.45,18.45,18.45,17.55,17.55,17.55,17.59,50508,8.88,57,42070,83.29
NFL, EQ, 09-Apr-2019,34.95,34.95,35,34.45,34.85,34.75,34.74,156115,54.23,1252,75025,48.06
NH, EQ, 09-Apr-2019,215.8,214.55,219.95,213.1,217.6,218.65,217.17,6622,14.38,638,3893,58.79
NHAI, N1, 09-Apr-2019,1093.03,1089.6,1092.1,1089.6,1090,1090.18,1090.41,2122,23.14,24,1722,81.15
NHAI, N2, 09-Apr-2019,1167.96,1167.94,1168,1167.25,1168,1168,1167.91,2202,25.72,21,1777,80.7
NHAI, N6, 09-Apr-2019,1211.73,1214.9,1214.9,1197.22,1207,1207,1203.1,326,3.92,16,135,41.41
NHAI, N8, 09-Apr-2019,1059,1058,1058,1058,1058,1058,1058,5,0.05,1,5,100
NHAI, NA, 09-Apr-2019,1103.66,1103.5,1104.5,1100,1104.34,1103.97,1102.05,3973,43.78,63,3400,85.58
NHAI, NE, 09-Apr-2019,1151.95,1150.1,1150.1,1143.05,1148,1148,1145,2270,25.99,28,1870,82.38
NHBTF2014, N6, 09-Apr-2019,6476.27,6480,6485,6475.05,6485,6485,6481.42,32,2.07,3,31,96.88
NHBTF2023, N6, 09-Apr-2019,5905.04,6100,6100,6100,6100,6100,6100,49,2.99,1,49,100
NHBTF2023, N7, 09-Apr-2019,6455,6150,6200,6100,6200,6150,6157.14,70,4.31,4,45,64.29
NHPC, EQ, 09-Apr-2019,24.4,24.4,24.5,24.15,24.15,24.2,24.25,2080397,504.4,2120,873471,41.99
NIACL, EQ, 09-Apr-2019,190.35,190.35,192,187,190.05,189,189.09,39952,75.55,1347,19584,49.02
